iter	Passed	Remaining
352	6175	11318
353	6191	11298
354	6206	11276
355	6222	11256
356	6238	11236
357	6254	11216
358	6270	11196
359	6293	11188
360	6311	11171
361	6330	11157
362	6350	11144
363	6368	11126
364	6384	11107
365	6400	11087
366	6417	11068
367	6435	11051
368	6452	11033
369	6468	11013
370	6483	10991
371	6499	10972
372	6516	10953
373	6532	10933
374	6548	10914
375	6565	10895
376	6583	10878
377	6600	10861
378	6617	10843
379	6636	10827
380	6655	10812
381	6671	10793
382	6688	10775
383	6705	10757
384	6722	10737
385	6739	10720
386	6755	10701
387	6771	10680
388	6786	10659
389	6803	10641
390	6820	10623
391	6837	10604
392	6853	10585
393	6870	10567
394	6886	10548
395	6904	10531
396	6921	10512
397	6937	10493
398	6954	10474
399	6970	10456
400	6986	10436
401	7001	10415
